Unnamed: 0,user_id,name,email,company,role,verified,item_id,item_name,category,description,price,supplier,stock,invoice_id,vendor_id,invoice_date,due_date,amount,status,related_item_id,from,to,subject,body,email_type,generated_reply,response_date,summary,previous_interactions,phone,address,timestamp,reply_text,action_taken
0.0,3472.0,Aaron Roberts,jchavez@gmail.com,Brown Inc,Procurement Manager,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,39.0,INV-1638,V7755,2025-08-08,2025-09-07,341259.75,Overdue,C103,jchavez@gmail.com,support@aerosupply.com,Invoice status inquiry INV-1638,"Hello, could you confirm the status of invoice INV-1638 for Jet Fuel Pump?",Invoice Query,"Dear Aaron Roberts, the payment status for invoice INV-1638 is Overdue.",2025-08-09,Aaron Roberts requested status of INV-1638 for Jet Fuel Pump; response sent confirming Overdue.,"[{'uuid': '9e5e47fc-545e-411d-8133-ddb59f71d43b', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",9569733980.0,"862, Main Street, City3",,,
1.0,2375.0,Peter Reed,sotochristopher@hotmail.com,"Garcia, Houston and Best",Supply Chain Lead,False,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,4.0,INV-4340,V8858,2025-08-09,2025-09-08,2222.0,Pending,C103,sotochristopher@hotmail.com,support@aerosupply.com,Invoice status inquiry INV-4340,"Hello, could you confirm the status of invoice INV-4340 for Jet Fuel Pump?",Invoice Query,"Dear Peter Reed, the payment status for invoice INV-4340 is Pending.",2025-08-10,Peter Reed requested status of INV-4340 for Jet Fuel Pump; response sent confirming Pending.,"[{'uuid': '07ea0d56-443f-4be2-8d2c-a045ecf7fe7f', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",7724881106.0,"450, Main Street, City13",,,
2.0,7671.0,Amanda Torres,evelynstewart@rhodes-bradley.org,"Brooks, Williams and Terrell",Supply Chain Lead,True,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,2.0,INV-9879,V8296,2025-08-06,2025-09-05,30401.98,Paid,C105,evelynstewart@rhodes-bradley.org,support@aerosupply.com,Invoice status inquiry INV-9879,"Hello, could you confirm the status of invoice INV-9879 for Flight Control Computer?",Invoice Query,"Dear Amanda Torres, the payment status for invoice INV-9879 is Paid.",2025-08-07,Amanda Torres requested status of INV-9879 for Flight Control Computer; response sent confirming Paid.,"[{'uuid': '380c7c3c-2ba2-4e90-b392-7a2f9a667bde', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",9383051470.0,"421, Main Street, City7",,,
3.0,7614.0,Stephanie Sloan,uholden@ramirez-cline.com,Smith-Spencer,Finance Officer,True,C102,Avionics Display,Electronics,Cockpit avionics display screen,5600.5,SkyAvionics,37.0,INV-3505,V2206,2025-07-22,2025-08-21,207218.5,Pending,C102,uholden@ramirez-cline.com,support@aerosupply.com,Invoice status inquiry INV-3505,"Hello, could you confirm the status of invoice INV-3505 for Avionics Display?",Invoice Query,"Dear Stephanie Sloan, the payment status for invoice INV-3505 is Pending.",2025-07-23,Stephanie Sloan requested status of INV-3505 for Avionics Display; response sent confirming Pending.,"[{'uuid': '0a2b9608-b1bd-4855-934b-d685f9403cb6', 'context': 'User requested catalog details for Avionics Display (C102)'}]",8150180523.0,"971, Main Street, City10",,,
4.0,4651.0,Joshua Dudley,ebony02@brady-hayes.com,"Manning, Robinson and Alexander",Supply Chain Lead,False,C102,Avionics Display,Electronics,Cockpit avionics display screen,5600.5,SkyAvionics,23.0,INV-6806,V2308,2025-09-12,2025-10-12,128811.5,Paid,C102,ebony02@brady-hayes.com,support@aerosupply.com,Invoice status inquiry INV-6806,"Hello, could you confirm the status of invoice INV-6806 for Avionics Display?",Invoice Query,"Dear Joshua Dudley, the payment status for invoice INV-6806 is Paid.",2025-09-13,Joshua Dudley requested status of INV-6806 for Avionics Display; response sent confirming Paid.,"[{'uuid': 'e382a6ad-8475-4e0b-85b1-3539ccee433d', 'context': 'User requested catalog details for Avionics Display (C102)'}]",8421541660.0,"268, Main Street, City10",,,
5.0,1211.0,Benjamin Hernandez,amandarivera@lopez-lawrence.com,Hernandez Group,Procurement Manager,False,C102,Avionics Display,Electronics,Cockpit avionics display screen,5600.5,SkyAvionics,3.0,INV-9386,V8843,2025-08-16,2025-09-15,16801.5,Paid,C102,amandarivera@lopez-lawrence.com,support@aerosupply.com,Invoice status inquiry INV-9386,"Hello, could you confirm the status of invoice INV-9386 for Avionics Display?",Invoice Query,"Dear Benjamin Hernandez, the payment status for invoice INV-9386 is Paid.",2025-08-17,Benjamin Hernandez requested status of INV-9386 for Avionics Display; response sent confirming Paid.,"[{'uuid': '78eea114-cc95-442c-8f2c-bcf97b82d2ed', 'context': 'User requested catalog details for Avionics Display (C102)'}]",7150255555.0,"599, Main Street, City7",,,
6.0,4209.0,Michael Holmes,nicolenguyen@yahoo.com,Drake-Nunez,Engineer,False,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,21.0,INV-8837,V4220,2025-08-16,2025-09-15,44100.0,Pending,C104,nicolenguyen@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-8837,"Hello, could you confirm the status of invoice INV-8837 for Landing Gear Tire?",Invoice Query,"Dear Michael Holmes, the payment status for invoice INV-8837 is Pending.",2025-08-17,Michael Holmes requested status of INV-8837 for Landing Gear Tire; response sent confirming Pending.,"[{'uuid': 'a59af8c5-6c41-4f9f-affb-c79610207b46', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",8876122600.0,"961, Main Street, City20",,,
7.0,2253.0,Richard King,andrew59@roth.com,"Sanders, Matthews and Brown",Supply Chain Lead,True,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,38.0,INV-1923,V3411,2025-07-09,2025-08-08,577637.62,Paid,C105,andrew59@roth.com,support@aerosupply.com,Invoice status inquiry INV-1923,"Hello, could you confirm the status of invoice INV-1923 for Flight Control Computer?",Invoice Query,"Dear Richard King, the payment status for invoice INV-1923 is Paid.",2025-07-10,Richard King requested status of INV-1923 for Flight Control Computer; response sent confirming Paid.,"[{'uuid': 'ffe9dcc6-6bef-4828-b16f-1f930b144027', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",7583897803.0,"226, Main Street, City13",,,
8.0,8984.0,Ian Ward,kdoyle@yahoo.com,Griffith-Martinez,Engineer,True,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,45.0,INV-4367,V5316,2025-08-24,2025-09-23,684044.55,Overdue,C105,kdoyle@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-4367,"Hello, could you confirm the status of invoice INV-4367 for Flight Control Computer?",Invoice Query,"Dear Ian Ward, the payment status for invoice INV-4367 is Overdue.",2025-08-25,Ian Ward requested status of INV-4367 for Flight Control Computer; response sent confirming Overdue.,"[{'uuid': '7303aea3-7943-4650-87ec-523c482664d8', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",9860619033.0,"270, Main Street, City28",,,
9.0,5351.0,Steven Perez,jasmine38@sawyer.com,Cruz-Gutierrez,Supply Chain Lead,False,C101,Hydraulic Pump,Aircraft Parts,Hydraulic pump for A320 landing gear,1450.75,AirParts Co,2.0,INV-8766,V6460,2025-08-24,2025-09-23,2901.5,Overdue,C101,jasmine38@sawyer.com,support@aerosupply.com,Invoice status inquiry INV-8766,"Hello, could you confirm the status of invoice INV-8766 for Hydraulic Pump?",Invoice Query,"Dear Steven Perez, the payment status for invoice INV-8766 is Overdue.",2025-08-25,Steven Perez requested status of INV-8766 for Hydraulic Pump; response sent confirming Overdue.,"[{'uuid': '8fdbd24b-0c76-425d-926a-8becbe76cbf9', 'context': 'User requested catalog details for Hydraulic Pump (C101)'}]",6172419387.0,"879, Main Street, City21",,,
